"sample_id","plate_no","generation","read_no","week_no","cocktail_no","human_crystal","class3_crystal","class3_clear","class3_other"
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891395200801181216",2,"C0661",0,0.4745,0.07875,0.44675
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890671200801181227",2,"C0624",0,0.44825,0.09825,0.4535
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890909200801181223",2,"C0156",0,0.41725,0.295,0.28775
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890438200801181229",2,"C1178",0,0.40775,0.2635,0.32875
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890203200801181232",2,"C0207",0,0.4555,0.09875,0.44575
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890497200801181228",2,"C0125",0,0.44725,0.245,0.30775
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891185200801181219",2,"C0081",0,0.41475,0.295,0.29025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891308200801181217",2,"C1515",0,0.407,0.2885,0.3045
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891095200801181221",2,"C0358",0,0.42525,0.23,0.34475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891114200801181220",2,"C1311",0,0.407,0.295,0.298
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890672200801181227",2,"C1392",0,0.397,0.21225,0.39075
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891223200801181219",2,"C0654",0,0.4655,0.07925,0.45525
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890358200801181230",2,"C1266",0,0.44375,0.08975,0.4665
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890537200801181227",2,"C0507",0,0.47475,0.08825,0.437
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890038200801181234",2,"C0778",0,0.44875,0.08975,0.4615
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890831200801181224",2,"C0628",0,0.451,0.08825,0.46075
